Grampus_griseus_(PEM_N117),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca2,2.8,5.09,4.79,4.51,2.07,100,2.55,1.33,0,0,NA,3.62,1.75,79
Ca3,2.65,5.5,5.04,4.28,1.97,98,2.42,1.24,0,0,NA,3.52,2.16,79
Ca4,2.52,5.57,5.46,3.72,2.07,95,2.17,1.68,0.38,0.72,4.55,3.13,2.78,80
Ca5,2.76,5.27,5.37,3.82,2.14,95,1.69,1.61,0.38,0.46,4.2,3.18,2.51,85
Ca6,3.01,5.74,5,3.57,2.13,97,1.36,1.72,0.37,0.51,4.1,3.5,2.5,84
Ca7,2.85,5.55,5.46,3.26,1.99,100,1.29,1.75,0.44,0.52,3.9,2.73,2.41,78
Ca8,2.82,5.31,5.1,2.96,2.11,100,1.47,1.32,0.63,0.64,3.5,1.97,2.05,76
Ca9,2.85,5.24,5.09,2.65,2.09,98,1.23,1.34,NA,NA,NA,1.37,1.81,80
Ca10,3.03,5.16,5.1,2.59,1.92,100,1.28,1.41,0.69,0.86,2.7,1.03,1.79,80
Ca11,3.59,4.59,5.08,2.48,2.08,105,1.13,1.6,0.96,1.02,2.3,0.61,1.79,80
Ca12,4.12,4.6,5.09,2.27,2.16,104,1,1.8,0.86,0.87,2.05,0,0,NA
Ca13,4.1,4.39,5.21,1.92,2.06,110,0.85,2.1,0.68,0.72,1.7,0,0,NA
Ca14,4.21,4.42,5.2,1.45,2.32,115,0.63,2.62,0.4,0.54,1.3,0,0,NA
Ca15,4.08,4.02,5.23,0,0,NA,0,0,0,0,NA,0,0,NA
Ca16,4.14,3.44,4.67,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,3.92,3.28,4.05,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,2.77,3.49,3.7,0,0,NA,0,0,0,0,NA,0,0,NA
