Grampus_griseus_(USNM_347613),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
L17,3.27,6.35,5.99,9.52,2.98,87,3.25,1.82,0,0,NA,6.75,1.85,88
L18,3.27,6.12,5.92,8.9,3.27,90,3.09,1.69,0,0,NA,6.6,1.94,90
L19,3.21,6.27,5.84,8.61,3.02,91,3.02,1.85,0,0,NA,6.23,1.84,89
Ca1,3.25,6.37,5.95,8.49,3,89,2.83,1.84,0,0,NA,6.14,2.26,87
Ca2,3.41,6.35,6.03,8.45,2.84,89,2.68,1.78,0,0,NA,5.84,2.64,88
Ca3,3.44,6.39,5.99,8.14,2.87,91,2.35,2.11,0,0,NA,5.38,2.56,91
Ca4,3.4,6.44,6.05,7.89,2.85,90,2.4,1.94,0,0,NA,5.44,2.87,90
Ca5,3.43,6.49,6.01,7.69,2.76,90,2.24,1.92,0,0,NA,5.2,2.89,90
Ca6,3.49,6.4,6.22,7.51,2.65,88,2.06,1.99,0,0,NA,5.03,2.69,91
Ca7,3.55,6.45,6.27,7.29,2.73,91,1.97,1.99,0,0,NA,4.43,2.9,90
Ca8,3.59,6.5,6.35,6.93,2.4,91,1.87,2.03,0.37,0.41,5.15,3.72,2.82,91
Ca9,3.64,6.53,6.21,6.69,2.35,92,1.62,2.03,0,0,NA,2.93,2.52,93
Ca10,3.67,6.47,6.49,6.11,2.47,96,1.74,1.87,0.52,0.7,4,2.09,2.62,89
Ca11,3.86,6.37,6.6,5.47,2.58,101,1.7,1.88,0.54,0.86,3.7,1.62,2.5,91
Ca12,4.02,6.28,6.58,5.21,2.43,106,1.48,2.01,0.54,0.92,3.4,1.1,2.55,90
Ca13,4.2,5.99,6.56,4.54,2.38,117,1.29,1.84,0.72,1.2,3.15,0.84,1.88,90
Ca14,4.35,5.72,6.51,4.19,2.45,115,1.2,2,0.66,0.95,3,0.48,1.36,90
Ca15,4.57,5.36,6.38,3.93,2.48,118,0.98,1.97,0.79,0.96,2.85,0,0,NA
Ca16,4.77,5,6.66,3.46,2.7,123,0.85,2.22,0.79,0.85,2.45,0,0,NA
Ca17,5.15,4.63,6.64,2.68,2.74,131,0.74,2.35,0.77,0.83,1.75,0,0,NA
Ca18,5.3,4.38,6.65,2.06,2.26,133,0.6,2.47,0.84,0.72,1.2,0,0,NA
Ca19,5.23,4.26,6.08,1.58,2.28,131,0.47,2.6,0.58,0.62,0.65,0,0,NA
Ca20,4.65,4.35,5.61,0.47,1.63,110,0.44,2.48,0.32,0.34,0.35,0,0,NA
Ca21,3.06,4.4,4.89,0,0,NA,0,0,0.37,0.35,0.3,0,0,NA
