Grampus_griseus_(USNM_504328),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca1,3.65,5.8,5.34,7.76,2.31,88,2.58,1.89,0,0,NA,5.83,2.08,94
Ca2,3.8,5.9,5.26,7.59,2.41,88,2.47,1.91,0,0,NA,5.71,2.04,85
Ca3,3.75,5.95,5.31,7.37,2.14,91,2.27,1.8,0,0,NA,5.49,2.24,85
Ca4,3.63,6.07,5.25,7.37,1.94,86,2.04,1.7,0,0,NA,5.09,2,81
Ca5,3.62,5.92,5.26,7.29,2.08,84,1.91,1.89,0.42,0.71,5.7,4.67,2.08,84
Ca6,3.7,5.92,5.43,7.23,2.06,85,1.84,1.9,0.47,0.73,5.7,4.26,2.01,87
Ca7,3.69,5.99,5.46,6.85,2.21,87,1.85,2.07,0.6,0.75,5.35,3.67,2.18,84
Ca8,3.75,5.87,5.65,6.59,2.21,85,1.81,1.87,0.74,0.88,5.25,3.32,2.04,85
Ca9,3.93,5.95,5.67,6.41,2.24,87,1.54,2.04,0.61,0.7,5.05,2.74,1.94,80
Ca10,3.98,5.9,5.8,5.92,2.3,96,1.57,1.89,0.67,0.91,4.8,2.09,1.97,79
Ca11,4,5.82,5.77,5.3,2.07,101,1.55,1.78,0.69,1.2,4.4,1.6,1.88,79
Ca12,4.03,5.72,5.83,5.07,2.14,105,1.41,1.73,0.81,1.02,3.9,1.14,1.67,78
Ca13,4.2,5.43,5.76,4.57,2.13,104,1.39,1.77,0.74,1.33,3.6,0.62,1.5,80
Ca14,4.3,5.33,5.76,4.16,2.23,105,1.28,1.7,0.84,1.12,3.1,0.58,1.25,85
Ca15,4.43,4.83,5.71,3.62,2.22,104,1.18,1.66,0.9,1.12,2.85,0,0,NA
Ca16,4.54,4.61,5.89,3.07,2.14,108,1.01,1.86,0.87,0.99,2.2,0,0,NA
Ca17,4.75,4.26,5.95,2.52,2.33,112,0.86,2.11,0.79,0.93,1.8,0,0,NA
Ca18,4.99,3.87,5.91,2.12,2.32,111,0.58,2.34,0.78,0.81,1.2,0,0,NA
Ca19,5.02,3.64,5.8,1.39,2.14,108,0.56,2.72,0.93,0.6,0.85,0,0,NA
Ca20,4.68,3.67,5.19,0.74,1.87,105,0.43,2.72,0.52,5,0.7,0,0,NA
Ca21,3.54,3.85,4.38,0,0,NA,0,0,0,0,NA,0,0,NA
