Stenella_clymene_(USNM_550532),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca8,2.05,3.17,3.16,5.47,1.12,71,1.61,1.27,0.21,0.25,3.8,4.68,1.06,65
Ca9,2.06,3.28,3.2,5.48,1.11,73,1.4,1.25,0.24,0.34,3.4,4.56,1.08,63
Ca10,2.13,3.27,3.2,5.31,1.09,71,1.28,1.27,0.3,0.42,3.5,4.42,1.02,60
Ca11,2.15,3.33,3.24,5.09,1.13,72,1.13,1.35,0.3,0.33,3.1,3.88,1.33,63
Ca12,2.19,3.32,3.34,4.9,1.17,68,1.06,1.31,0.41,0.28,3,3.36,1.16,60
Ca13,2.27,3.3,3.46,4.68,1.24,65,1.08,1.41,0.29,0.37,2.65,2.87,0.94,60
Ca14,2.35,3.42,3.4,4.15,1.34,70,0.94,1.47,0.3,0.3,2.5,2.24,0.98,57
Ca15,2.34,3.41,3.44,3.78,1.7,76,0.84,1.52,0.29,0.35,2.2,1.11,1.09,57
Ca16,2.45,3.25,3.59,3.26,1.87,88,0.81,1.59,0.27,0.35,2,0.56,0.75,65
Ca17,2.57,3.04,3.68,2.65,2.02,91,0.67,1.76,0.4,0.44,1.8,0,0,NA
Ca18,2.74,2.82,3.61,2,2.04,98,0.54,1.88,0.45,0.38,1.4,0,0,NA
Ca19,2.77,2.62,3.74,1.64,2.06,102,0.46,2,0.3,0.38,1.1,0,0,NA
Ca20,2.74,2.53,3.79,1.28,2.26,107,0.34,1.84,0.35,0.34,0.75,0,0,NA
Ca21,2.65,2.47,3.7,0.8,2.1,109,0.22,1.79,0.25,0.29,0.45,0,0,NA
Ca22,2.51,2.41,3.44,0.32,1.78,103,0.17,1.48,0.27,0.26,0.2,0,0,NA
Ca23,2.08,2.41,3.07,0,0,NA,0,0,0,0,NA,0,0,NA
Ca24,1.43,2.57,2.52,0,0,NA,0,0,0,0,NA,0,0,NA
