Grampus_griseus_(MNHN_A3248),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
L17,3.18,6.01,5.61,7.54,1.96,90,3.68,0.96,0,0,NA,7.33,1.95,90
L18,2.93,6.1,5.82,7.1,1.8,90,3.58,1.08,0,0,NA,7.38,2.18,90
L19,3.09,6.18,5.95,6.88,1.92,90,3.53,1.23,0,0,NA,6.8,2.11,90
L20,3.23,6.04,5.97,6.92,1.85,90,3.49,1.38,0,0,NA,6.79,2.45,90
Ca1,3.23,6.08,6,6.57,1.69,90,3.48,1.27,0,0,NA,6.47,2.44,90
Ca2,3.26,6.13,6,6.27,1.91,90,3.31,1.07,0,0,NA,6.26,2.4,90
Ca3,3.07,6.44,6.04,6.15,2.14,90,2.85,1.84,0,0,NA,5.8,2.44,90
Ca4,3.28,6.09,5.88,5.88,2.11,90,2.66,1.64,0,0,NA,5.36,2.21,90
Ca5,3.24,6.06,5.77,5.61,2.17,90,2.61,1.8,0,0,NA,5.03,2.5,90
Ca6,3.28,6.01,5.96,5.07,2.2,90,2.34,1.75,0,0,NA,4.47,2.44,90
Ca7,3.58,6.13,6.15,4.74,2.07,90,2.14,1.77,0,0,NA,3.96,2.44,85
Ca8,3.65,6.03,5.72,4.19,2.03,90,2.25,1.7,0,0,NA,3.7,2.25,85
Ca9,3.63,5.93,5.88,3.88,2.03,90,2.29,1.93,0.57,1.27,2.75,3.12,2.32,85
Ca10,3.7,6.05,5.6,3.89,2.12,90,2.12,1.87,0.58,1.27,2.69,2.83,2.16,75
Ca11,4.02,5.8,5.39,3.72,2.05,95,2.23,1.9,0.55,1.19,2.65,1.99,1.97,75
Ca12,3.92,5.58,5.49,3.4,2.02,98,1.84,1.86,0.65,1.04,2.75,1.3,1.78,NA
Ca13,4.25,5.23,5.67,3.44,2.05,102,1.44,1.89,0.74,0.93,2.03,0.56,1.64,NA
Ca14,4.57,4.95,5.43,3.11,2.08,110,1.32,2.1,0.85,0.78,1.78,0,0,NA
Ca15,4.68,4.62,5.49,2.46,2.33,115,1.16,2.17,0.71,0.88,1.7,0,0,NA
Ca16,4.99,4.28,5.74,1.96,2.52,115,1.13,2.35,0.83,0.91,1.55,0,0,NA
Ca17,4.89,4.05,5.89,1.39,2.56,115,1.05,2.66,0.85,0.7,1.18,0,0,NA
Ca18,4.6,3.95,5.23,0.89,2.6,105,0.92,2.63,0.4,0.55,0.95,0,0,NA
Ca19,3.32,4.13,4.56,0,0,NA,0.9,1.68,0,0,NA,0,0,NA
